DISEASE.TRAIT,cancer_class
Gallbladder cancer,biliary
Urinary bladder cancer,bladder
Bladder cancer,bladder
Breast cancer,breast
Breast cancer in BRCA2 mutation carriers,breast
Breast cancer (male),breast
Breast Cancer in BRCA1 mutation carriers,breast
"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)",breast
Breast cancer (early onset),breast
Breast cancer (estrogen-receptor negative),breast
Estrogen receptor status in breast cancer,breast
Estrogen receptor status in HER2 negative breast cancer,breast
Breast cancer (estrogen-receptor positive),breast
HER2 status in breast cancer,breast
Breast cancer and/or colorectal cancer,breast
BRCA1/2-negative high-risk breast cancer,breast
Cancer,cancer_unspecified
Cancer (pleiotropy),cancer_unspecified
Cervical cancer,cervical
Glioma (high-grade),cns
Glioma,cns
Meningioma,cns
Glioblastoma,cns
Non-glioblastoma glioma,cns
Glioblastoma (age-stratified),cns
Colorectal cancer,colorectal
Colorectal or endometrial cancer,colorectal
Colon cancer,colorectal
Breast cancer and/or colorectal cancer,colorectal
Mucinous adenocarcinoma in colorectal cancer,colorectal
Endometrial cancer,endometrial
Colorectal or endometrial cancer,endometrial
Endometrioid ovarian cancer,endometrial
Endometriosis or endometrial cancer (pleiotropy),endometrial
Endometrial cancer (endometrioid histology),endometrial
Endometrial cancer (Non-endometrioid histology),endometrial
Esophageal cancer and gastric cancer,gastric
Gastric cancer,gastric
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)",gastric
Gastric adenocarcinoma (histologically verified),gastric
Non-cardia gastric cancer,gastric
Nasopharyngeal carcinoma,head_neck
Oral cavity and pharyngeal cancer,head_neck
Laryngeal squamous cell carcinoma,head_neck
Oral cavity cancer,head_neck
Oropharynx cancer,head_neck
Renal cell carcinoma,kidney
Chronic lymphocytic leukemia,leukemia
Acute lymphoblastic leukemia (childhood),leukemia
Chronic myeloid leukemia,leukemia
Acute lymphoblastic leukemia (B-cell precursor),leukemia
Acute lymphoblastic leukemia (adolescents and young adults),leukemia
Acute lymphoblastic leukemia in childhood (B cell precursor),leukemia
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",leukemia
Hepatocellular carcinoma,liver
Lung cancer,lung
Lung adenocarcinoma,lung
Non-small cell lung cancer,lung
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)",lung
Lung Cancer (DNA repair capacity),lung
EGFR mutation-positive lung adenocarcinoma,lung
Squamous cell lung carcinoma,lung
Small cell lung carcinoma,lung
Familial squamous cell lung carcinoma,lung
Familial lung cancer,lung
Familial lung adenocarcinoma,lung
Follicular lymphoma,lymphoma
Hodgkin's lymphoma,lymphoma
Large B-cell lymphoma,lymphoma
Lymphoma,lymphoma
B cell non-Hodgkin lymphoma,lymphoma
Diffuse large B cell lymphoma,lymphoma
Marginal zone lymphoma,lymphoma
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",lymphoma
Nodular sclerosis Hodgkin lymphoma,lymphoma
Mixed cellularity Hodgkin lymphoma,lymphoma
Waldenstr**m macroglobulinemia / lymphoplasmacytic lymphoma,lymphoma
Primary central nervous system lymphoma,lymphoma
Melanoma,melanoma
Cutaneous malignant melanoma,melanoma
Uveal melanoma,melanoma
Nevus count or cutaneous melanoma,melanoma
Multiple myeloma,multiple_myeloma
Multiple myeloma (IgH translocation),multiple_myeloma
Multiple myeloma (hyperdiploidy),multiple_myeloma
Multiple myeloma and monoclonal gammopathy,multiple_myeloma
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",multiple_myeloma
Neuroblastoma,neuroblastoma
Neuroblastoma (high-risk),neuroblastoma
Sporadic neuroblastoma,neuroblastoma
Neuroblastoma (11q deletion),neuroblastoma
Neuroblastoma (1p deletion),neuroblastoma
Neuroblastoma (MYCN amplification),neuroblastoma
Esophageal cancer,oesophageal
Esophageal cancer and gastric cancer,oesophageal
Esophageal cancer (squamous cell),oesophageal
Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined),oesophageal
Esophageal adenocarcinoma,oesophageal
Esophageal squamous cell carcinoma,oesophageal
Barrett's esophagus  or Esophageal adenocarcinoma,oesophageal
Ovarian cancer,ovarian
Ovarian cancer in BRCA1 mutation carriers,ovarian
Epithelial ovarian cancer,ovarian
Mucinous ovarian carcinoma,ovarian
Ovarian cancer in BRCA2 mutation carriers,ovarian
Serous invasive ovarian cancer,ovarian
Serous borderline ovarian cancer,ovarian
High-grade serous ovarian cancer,ovarian
Invasive epithelial ovarian cancer,ovarian
Low-grade serous and serous borderline ovarian cancer,ovarian
Endometrioid ovarian cancer,ovarian
Pancreatic cancer,pancreatic
Pancreatic ductal adenocarcinoma,pancreatic
Prostate cancer,prostate
Prostate cancer (early onset),prostate
Prostate cancer (advanced),prostate
Ewing sarcoma,sarcoma
Osteosarcoma,sarcoma
Basal cell carcinoma,skin_non_melanoma
Esophageal cancer (squamous cell),skin_non_melanoma
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)",skin_non_melanoma
Squamous cell carcinoma,skin_non_melanoma
Non-melanoma skin cancer,skin_non_melanoma
Esophageal squamous cell carcinoma,skin_non_melanoma
Laryngeal squamous cell carcinoma,skin_non_melanoma
Cutaneous squamous cell carcinoma,skin_non_melanoma
Multiple keratinocyte cancers,skin_non_melanoma
Squamous cell lung carcinoma,skin_non_melanoma
Familial squamous cell lung carcinoma,skin_non_melanoma
Testicular cancer,testicular
Testicular germ cell cancer,testicular
Thyroid cancer,thyroid
Differentiated thyroid cancer,thyroid
